Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
0, common/internal_model/src/main/scala/uk/ac/wellcome/models/transformable/sierra/SierraItemRecord.scala, 3956, false, 185, 169, 1260, 30, 8
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/transformable/sierra/SierraRecordNumber.scala, 1569, false, 92, 224, 842, 45, 29
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/AbstractRootConcept.scala, 1484, false, 214, 645, 2194, 134, 90
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Work.scala, 1366, false, 485, 865, 4244, 121, 89
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/License.scala, 1014, false, 91, 325, 810, 70, 69
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/IdentifierType.scala, 933, false, 69, 173, 584, 35, 38
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/LocationType.scala, 891, false, 70, 160, 536, 35, 39
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/transformable/SierraTransformable.scala, 809, false, 66, 104, 398, 23, 28
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/ContributionRole.scala, 721, false, 47, 30, 259, 5, 7
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/matcher/WorkIdentifier.scala, 633, false, 49, 74, 360, 12, 19
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/matcher/WorkNode.scala, 606, false, 57, 45, 383, 7, 12
0, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/IdentityState.scala, 532, false, 176, 176, 990, 27, 51
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/matcher/MatchedIdentifiers.scala, 452, false, 39, 27, 207, 2, 4
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/MergeCandidate.scala, 330, false, 47, 34, 263, 5, 15
0, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/ProductionEvent.scala, 284, false, 95, 76, 435, 9, 32
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/WorkType.scala, 271, false, 53, 36, 297, 4, 15
0, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Location.scala, 251, false, 100, 94, 692, 16, 64
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Item.scala, 238, false, 47, 34, 259, 5, 21
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Subject.scala, 200, false, 71, 46, 315, 6, 30
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Contributor.scala, 198, false, 77, 47, 337, 6, 30
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Redirect.scala, 192, false, 55, 47, 417, 5, 26
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Genre.scala, 186, false, 71, 46, 315, 6, 32
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/SourceIdentifier.scala, 180, false, 52, 48, 299, 8, 44
2, common/internal_model/src/main/scala/uk/ac/wellcome/models/transformable/sierra/SierraBibRecord.scala, 140, false, 55, 75, 363, 15, 107
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/matcher/MatcherResult.scala, 123, false, 39, 27, 207, 2, 16
3, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/MultipleSourceIdentifiers.scala, 102, false, 29, 33, 46, 7, 69
0, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/internal/Language.scala, 67, false, 53, 36, 297, 6, 90
0, common/internal_model/src/main/scala/uk/ac/wellcome/models/work/text/TextNormalisation.scala, 49, false, 33, 54, 65, 10, 204
1, common/internal_model/src/main/scala/uk/ac/wellcome/models/transformable/sierra/AbstractSierraRecord.scala, 47, false, 29, 23, 23, 7, 149
